Facility Name,Category,Type,City,State,Start date,Gas Flow to project (scfm),Source,Date updated,Latitude,Longitude,x,y
Seneca Meadows SWMF,Landfill,Vehicle Fuel - Pipeline Injection,Waterloo,NY,3/3/2014,4868,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,42.91795,-76.84716,-8554586.720109222,5299491.327438516
Skyline LF,Landfill,Vehicle Fuel - Pipeline Injection,Ferris,TX,2/1/2020,3104,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,32.549,-96.68,-10762368.369893689,3835593.1250563394
Smithfield Hog Production/Align RNG - Milford Digesters,Ag digester,Pipeline Gas,Milford,UT,2020,433,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,38.227056,-113.136319,-12594277.421305362,4611551.052480366
Sousa & Sousa Dairy Digester,Ag digester,CNG,Tipton,CA,2019,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.035561,-119.404754,-13292076.413576094,4305515.61468943
South Shelby Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Memphis,TN,8/18/2020,4368,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,34.99809,-89.9189,-10009726.160691286,4163621.5857228483
South Side Landfill Inc.,Landfill,Vehicle Fuel - Local Use,Indianapolis,IN,3/20/2020,4000,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,39.72794,-86.20847,-9596682.982467202,4826485.66566204
Southeast OKC Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Oklahoma City,OK,9/24/2018,2618,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,35.3972,-97.4592,-10849108.517119808,4217990.906442919
Southern Alleghenies LF; Shade Landfill,Landfill,Vehicle Fuel - Pipeline Injection,,,9/1/2007,1625,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,40.12039,-78.80218,-8772218.550999887,4883452.479910277
Southern OK Regional Disposal LF,Landfill,Other - Pipeline Injection,Ardmore,OK,7/5/2018,472,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,34.1891,-97.0382,-10802243.01149584,4054221.88702814
St. Landry Parish LF,Landfill,Vehicle Fuel - Local Use,Washington,LA,4/13/2012,188,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,30.68627,-92.06458,-10248582.165696599,3592072.006699429
Still Water Ranch Digester,Ag digester,CNG,Hanford,CA,2019,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.399898,-119.528575,-13305860.10424561,4355787.158041693
Stony Hollow Landfill Inc.,Landfill,Vehicle Fuel - Pipeline Injection,Dayton,OH,5/1/2003,1132,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,39.6966,-84.2544,-9379156.905092789,4821950.475349131
T & W Dairy Digester,Ag digester,CNG,Bakersfield,CA,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.18974349,-119.1055002,-13258763.632942144,4189696.5161133925
Threemile Canyon Farms Digester,Ag digester,Pipeline Gas,Boardman,OR,2012,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,45.753967,-119.937021,-13351328.104982158,5741009.539122242
Timberlane Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Oakdale,LA,4/30/2019,778,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,30.8669,-92.607,-10308964.083892684,3615475.6117602633
Trilogy Dairy Digester,Ag digester,CNG,Bakersfield,CA,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.20555272,-119.1974679,-13269001.430475572,4191850.142099997
Turkey Creek Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Alvarado,TX,9/30/2012,847,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,32.3562,-97.202,-10820477.144087778,3810158.7695082473
Turnkey Recycling and Environmental Enterprise (TREE),Landfill,Electricity - Pipeline Injection,Rochester,NH,7/1/2009,2778,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,43.2448,-70.9695,-7900288.601853228,5349307.443139143
Udder Dairy Digester,Ag digester,CNG,Visalia,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.31021473,-119.4500501,-13297118.752363015,4343390.825938559
Valadao Dairy Digester,Ag digester,CNG,Hanford,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.22160215,-119.6245048,-13316538.960733509,4331156.484874589
Valley LF,Landfill,Vehicle Fuel - Pipeline Injection,Irwin,PA,2/27/2004,819,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,40.3881,-79.6742,-8869291.373361437,4922501.232963355
Vander Poel Dairy Digester,Ag digester,CNG,Pixley,CA,2019,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.936517,-119.349512,-13285926.902265694,4291889.721376765
Vander Woude Dairy Digester,Ag digester,CNG,Merced,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,37.21832237,-120.5213117,-13416371.048181405,4469581.957715184
Vista Verde Dairy Digester,Ag digester,CNG,Chowchilla,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,37.1559021,-120.3877303,-13401500.834753951,4460859.865462689
West River Dairy Digester - CNG,Ag digester,CNG,Morris,MN,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,45.586435,-95.914454,-10677148.178994862,5714321.025462112
Western Sky Dairy Digester,Ag digester,CNG,Bakersfield,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.18868722,-119.106384,-13258862.017108105,4189552.639757783
Westmoreland Waste SLF LLC,Landfill,Vehicle Fuel - Local Use,Belle Vernon,PA,5/11/2020,1396,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,40.1443,-79.8593,-8889896.611107271,4886933.772730498
Westside Recycling and Disposal Facility,Landfill,Vehicle Fuel - Pipeline Injection,Three Rivers,MI,1/1/1999,1229,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,41.91555,-85.692,-9539189.805057198,5148337.625867959
Windy Ridge Dairy Digester,Ag digester,CNG,Fair Oaks,IN,2006,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,41.036301,-87.261441,-9713899.178007284,5017697.528440808
Woodland Meadows Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Wayne,MI,4/23/2018,4563,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,42.2652,-83.4315,-9287552.096119003,5200788.272005321
Woolworth Road Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Keithville,LA,10/1/2018,1705,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,32.38072,-93.90013,-10452914.657022191,3813390.4536259123
Wreden Ranch Dairy Digester,Ag digester,CNG,Hanford,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.1930577,-119.6060159,-13314480.785800183,4327218.433358967
